"","age","gender","income","education","country","winnerN","P_OTwin_late","P_OTwin_early","otherTeam_distance_before","ownTeam_distance_before","wholeGroup_distance_before","session","treatment","dgOffer"
"4077","27","Male",7,5,"US","deadLock",NA,NA,16,113,47,143,"S4_5",0.25
"4078","29","Male",1,4,"US","otherTeam",NA,NA,58,125,77,188,"S4_5",0.2
"4079","30","Male",6,6,"non-US","ownTeam",NA,NA,118,125,125,148,"S4_1",0.05
"4080","31","Female",3,2,"US","ownTeam",NA,NA,-100,41,-3,206,"S4_1",0.2
"4081","48","Male",8,5,"US","otherTeam",0.178343949,0.20481928,-50,-50,-50,130,"S4_4",0
"4082","29","Male",6,5,"US","deadLock",1,1,14,58,125,135,"S4_1",0
"4083","31","Female",6,5,"US","deadLock",NA,NA,3,125,106,208,"S4_2",0
"4084","42","Male",4,5,"non-US","deadLock",NA,NA,-33,125,125,205,"S4_4",0.2
"4085","23","Male",5,5,"US","deadLock",NA,NA,-71,125,70,165,"S4_3",0
"4086","42","Female",10,5,"US","deadLock",NA,NA,0,121,-1,190,"S4_3",0.05
"4087","30","Female",2,4,"US","deadLock",NA,0.12903226,113,103,101,193,"S4_1",0.2
"4088","22","Male",4,5,"non-US","deadLock",0,0.14285714,32,113,125,135,"S4_1",0
"4089","45","Male",6,4,"US","deadLock",NA,NA,-18,24,18,159,"S4_5",0
"4090","49","Female",10,3,"US","deadLock",NA,NA,12,75,46,179,"S4_2",0
"4091",NA,NA,NA,NA,NA,"deadLock",NA,NA,-50,-50,-50,187,"S4_3",NA
"4092","49","Male",3,6,"non-US","deadLock",0,0.23809524,48,125,125,150,"S4_1",0.2
"4093","23","Female",7,5,"US","deadLock",0.904458599,0.95180723,56,120,66,157,"S4_2",0.2
"4094","37","Male",5,6,"non-US","deadLock",0,0.625,20,58,47,129,"S4_1",0.2
"4095","46","Female",6,5,"US","deadLock",NA,NA,12,125,40,149,"S4_3",0.2
"4096","34","Female",5,6,"US","deadLock",NA,NA,47,60,52,191,"S4_5",0.1
"4097","31","Female",8,5,"US","deadLock",NA,NA,56,81,101,134,"S4_3",0.1
"4098","53","Female",9,4,"US","deadLock",0.232,1,-35,69,45,180,"S4_1",0
"4099",NA,NA,NA,NA,NA,"deadLock",NA,0,-50,-50,-50,166,"S4_2",NA
"4100","22","Male",1,4,"US","deadLock",NA,NA,123,36,125,190,"S4_3",0
"4101","36","Female",5,5,"US","deadLock",NA,NA,27,85,40,132,"S4_5",0.05
"4102","33","Male",5,5,"non-US","deadLock",NA,1,-50,74,122,165,"S4_3",0
